slug,name,title,email,phone,bioUrl,contactUrl,headshotUrl,xUrl,instagramUrl,linkedinUrl,isHeadCoach,reviewStatus
queens-university-of-charlotte,James Cullinane,Associate Head Coach,,,https://queensathletics.com/sports/baseball/coaches,,,,,,true,NEEDS_REVIEW
queens-university-of-charlotte,Nick Melton,Assistant Coach,,,https://queensathletics.com/sports/baseball/coaches,,,,,,false,NEEDS_REVIEW
stetson-university,Cameron Coons,Assistant Coach,,,https://gohatters.com/sports/baseball/coaches,,,,,,false,NEEDS_REVIEW
stetson-university,Greg Lovelady,Assistant Coach,,,https://gohatters.com/sports/baseball/coaches,,,,,,false,NEEDS_REVIEW
university-of-central-arkansas,Coach Brock Widders Associate,Head Coach,,,https://ucasports.com/sports/baseball/staff,,,,,,true,NEEDS_REVIEW
university-of-central-arkansas,Cody Davenport Associate,Head Coach,,,https://ucasports.com/sports/baseball/staff,,,,,,true,NEEDS_REVIEW
university-of-central-arkansas,Basketball Coach Brock Widders,Associate Head Coach,,,https://ucasports.com/sports/baseball/staff,,,,,,true,NEEDS_REVIEW
university-of-central-arkansas,Cody Davenport,Associate Head Coach,,,https://ucasports.com/sports/baseball/staff,,,,,,true,NEEDS_REVIEW
university-of-central-arkansas,Pitching Coach Lance Spigner,Assistant Coach,,,https://ucasports.com/sports/baseball/staff,,,,,,false,NEEDS_REVIEW
university-of-central-arkansas,Heath Holliday,Recruiting Coordinator,,,https://ucasports.com/sports/baseball/staff,,,,,,false,NEEDS_REVIEW
university-of-north-alabama,Nick Patten Associate,Head Coach,,,https://roarlions.com/sports/baseball/coaches,,,,,,true,NEEDS_REVIEW
university-of-north-alabama,Nick Patten,Associate Head Coach,,,https://roarlions.com/sports/baseball/coaches,,,,,,true,NEEDS_REVIEW
university-of-north-alabama,J.D. Davis,Assistant Coach,,,https://roarlions.com/sports/baseball/coaches,,,,,,false,NEEDS_REVIEW
university-of-north-alabama,Jacob James,Pitching Coach,,,https://roarlions.com/sports/baseball/coaches,,,,,,false,NEEDS_REVIEW
university-of-north-florida,Brad Wilkerson Associate,Head Coach,,,https://unfospreys.com/sports/baseball/coaches,,,,,,true,NEEDS_REVIEW
university-of-north-florida,Brad Wilkerson,Associate Head Coach,,,https://unfospreys.com/sports/baseball/coaches,,,,,,true,NEEDS_REVIEW
university-of-north-florida,Garrett Bush,Assistant Coach,,,https://unfospreys.com/sports/baseball/coaches,,,,,,false,NEEDS_REVIEW
university-of-north-florida,Parker Bangs Assistant,Pitching Coach,,,https://unfospreys.com/sports/baseball/coaches,,,,,,false,NEEDS_REVIEW
university-of-west-georgia,,,,,https://uwgsports.com/sports/baseball,,,,,,false,NO_CANDIDATES_FOUND
davidson-college,John Lyons-Harrison,Assistant Coach,,,https://davidsonwildcats.com/sports/baseball/coaches,,,,,,false,NEEDS_REVIEW
davidson-college,Parker Nolan,Assistant Coach,,,https://davidsonwildcats.com/sports/baseball/coaches,,,,,,false,NEEDS_REVIEW
davidson-college,Joe Sheridan,Pitching Coach,,,https://davidsonwildcats.com/sports/baseball/coaches,,,,,,false,NEEDS_REVIEW
fordham-university,Elliot Glynn,Assistant Coach,,,https://fordhamsports.com/sports/baseball/coaches,,,,,,false,NEEDS_REVIEW
fordham-university,Pat Porter,Assistant Coach,,,https://fordhamsports.com/sports/baseball/coaches,,,,,,false,NEEDS_REVIEW
george-mason-university,Fax Mail Shawn Camp,Head Coach,,,https://gomason.com/sports/baseball/coaches,,,,,,true,NEEDS_REVIEW
george-mason-university,Tyler Nelin,Assistant Coach,,,https://gomason.com/sports/baseball/coaches,,,,,,false,NEEDS_REVIEW
george-mason-university,Evan Duhon,Assistant Coach,,,https://gomason.com/sports/baseball/coaches,,,,,,false,NEEDS_REVIEW
george-mason-university,Tommy Winterstein,Pitching Coach,,,https://gomason.com/sports/baseball/coaches,,,,,,false,NEEDS_REVIEW
george-mason-university,Kyle Darmstead,Director of Baseball Operations,,,https://gomason.com/sports/baseball/coaches,,,,,,false,NEEDS_REVIEW
george-washington-university,Tyler Kavanaugh Associate,Head Coach,,,https://gwsports.com/sports/baseball/coaches,,,,,,true,NEEDS_REVIEW
